"","Title","Year","Rating","Runtime","Critic.Score","Box.Office"
"1","The Whole Nine Yards",2000,"R",98,45,57.3
"2","Gladiator",2000,"R",155,76,187.3
"3","Cirque du Soleil",2000,"G",39,45,13.4
"4","Dinosaur",2000,"PG",82,65,135.6
"5","Big Momma's House",2000,"PG-13",99,30,0.5
"6","Gone in Sixty Seconds",2000,"PG-13",118,24,101
"7","Shaft",2000,"R",99,68,70.3
"8","Me, Myself & Irene",2000,"R",116,48,0.6
"9","Chicken Run",2000,"G",84,97,106.6
"10","The Patriot",2000,"R",165,62,2.3
"11","The Adventures of Rocky & Bullwinkle",2000,"PG",92,43,0.4
"12","The Kid",2000,"PG",104,49,68.5
"13","X-Men",2000,"PG-13",104,82,156.2
"14","What Lies Beneath",2000,"PG-13",130,46,155
"15","Thomas and the Magic Railroad",2000,"G",85,19,2
"16","Nutty Professor II: The Klumps",2000,"PG-13",106,26,122.4
"17","Hollow Man",2000,"R",112,27,72.1
"18","Coyote Ugly",2000,"PG-13",100,22,59.8
"19","Space Cowboys",2000,"PG-13",130,78,89.4
"20","The Replacements",2000,"PG-13",118,40,44
"21","Bless the Child",2000,"R",107,3,28.1
"22","The Original Kings of Comedy",2000,"R",115,86,37.7
"23","The Cell",2000,"R",107,45,60
"24","The Crew",2000,"PG-13",88,20,12.5
"25","Bring It On",2000,"PG-13",98,63,67.9
"26","The Art of War",2000,"R",117,16,29.5
"27","The Tao of Steve",2000,"R",87,80,2.6
"28","Whipped",2000,"R",82,13,3.8
"29","Backstage",2000,"R",86,31,0.7
"30","Turn It Up",2000,"R",86,8,0.7
"31","The Way of the Gun",2000,"R",119,48,5.2
"32","Nurse Betty",2000,"R",110,84,25
"33","The Watcher",2000,"R",97,10,28.6
"34","Duets",2000,"R",112,20,4.3
"35","Bait",2000,"R",119,26,14.9
"36","Urban Legends: Final Cut",2000,"R",97,9,21
"37","Woman on Top",2000,"R",92,34,4.5
"38","Almost Famous",2000,"R",122,88,31.7
"39","Remember the Titans",2000,"PG",113,73,114.3
"40","Beautiful",2000,"PG-13",112,16,2.8
"41","Dancer in the Dark",2000,"R",140,68,2.8
"42","Meet the Parents",2000,"PG-13",108,84,164.5
"43","Girlfight",2000,"R",110,87,0.8
"44","Digimon: The Movie",2000,"PG",82,25,9
"45","Get Carter",2000,"R",102,12,14.6
"46","Dr. T and the Women",2000,"R",122,57,12.1
"47","The Contender",2000,"R",126,76,16.1
"48","Lost Souls",2000,"R",97,7,16.4
"49","The Ladies Man",2000,"R",84,11,13.4
"50","Best in Show",2000,"PG-13",90,95,16.6
"51","Pay It Forward",2000,"PG-13",123,40,32.8
"52","Bamboozled",2000,"R",135,48,1.9
"53","Bedazzled",2000,"PG-13",93,49,37
"54","Lucky Numbers",2000,"R",105,22,9.5
"55","The Little Vampire",2000,"PG",95,55,13.4
"56","Charlie's Angels",2000,"PG-13",98,67,124.4
"57","The Legend of Bagger Vance",2000,"PG-13",126,43,30.4
"58","Red Planet",2000,"PG-13",106,14,17.1
"59","Little Nicky",2000,"PG-13",90,22,38.5
"60","Men of Honor",2000,"R",129,41,46.2
"61","The 6th Day",2000,"PG-13",123,41,33.8
"62","How the Grinch Stole Christmas",2000,"PG",104,53,259
"63","102 Dalmatians",2000,"G",100,31,65.4
"64","What's Cooking?",2000,"PG-13",109,52,0.7
"65","Dungeons & Dragons",2000,"PG-13",107,10,14.8
"66","Proof of Life",2000,"R",135,40,31.2
"67","Vertical Limit",2000,"PG-13",124,48,67.8
"68","What Women Want",2000,"PG-13",127,54,181.5
"69","Requiem for a Dream",2000,"R",102,78,2.5
"70","The Emperor's New Groove",2000,"G",78,85,87.3
"71","Dude, Where's My Car?",2000,"PG-13",83,18,45
"72","The Family Man",2000,"PG-13",125,53,73.7
"73","You Can Count on Me",2000,"R",111,95,8.4
"74","Miss Congeniality",2000,"PG-13",109,42,105.5
"75","Quills",2000,"R",124,75,4.3
"76","All the Pretty Horses",2000,"PG-13",116,32,14.7
"77","Traffic",2000,"R",147,92,123.8
"78","State and Main",2000,"R",105,86,5.8
"79","Crouching Tiger, Hidden Dragon",2000,"PG-13",120,97,127.7
"80","Thirteen Days",2000,"PG-13",145,83,33.1
"81","Finding Forrester",2000,"PG-13",136,74,51.4
"82","The Gift",2000,"R",111,57,11.2
"83","Chocolat",2000,"PG-13",121,63,71.3
"84","Snatch.",2000,"R",102,73,30.1
"85","Shadow of the Vampire",2000,"R",92,81,7.5
"86","O Brother, Where Art Thou?",2000,"PG-13",106,77,45.2
"87","Before Night Falls",2000,"R",133,73,2.8
"88","An Everlasting Piece",2000,"R",103,48,0.0091
"89","Pollock",2000,"R",122,81,7.3
"90","Memento",2000,"R",113,92,23.8
"91","The Golden Bowl",2000,"R",130,54,2.2
"92","Songcatcher",2000,"PG-13",109,74,1.6
"93","The Endurance",2000,"G",97,95,2.1
"94","Tadpole",2000,"PG-13",78,78,2.9
"95","The Debut",2000,"R",88,74,1.5
"96","Antitrust",2001,"PG-13",109,24,11
"97","Double Take",2001,"PG-13",88,12,28.5
"98","The Pledge",2001,"R",124,78,18.9
"99","Scotland, Pa.",2001,"R",104,59,0.2
"100","Sugar & Spice",2001,"PG-13",81,28,12.4
"101","Head Over Heels",2001,"PG-13",86,10,9.9
"102","Valentine",2001,"R",96,8,19.8
"103","Hannibal",2001,"R",131,39,163.9
"104","Saving Silverman",2001,"PG-13",90,18,19
"105","Recess: School's Out",2001,"G",82,61,34.8
